 profundidade, Hreal, Himag, rho
 -0.1150000000000000E+02, -0.7607094916486509E-01, -0.7056227600538960E-05, 100.0
 -0.1139999961853027E+02, -0.7607096442155957E-01, -0.7181611271009877E-05, 100.0
 -0.1130000019073486E+02, -0.7607098004962534E-01, -0.7313079086712020E-05, 100.0
 -0.1119999980926514E+02, -0.7607099606327299E-01, -0.7451045049891155E-05, 100.0
 -0.1110000038146973E+02, -0.7607101247750868E-01, -0.7595960238165931E-05, 100.0
 -0.1100000000000000E+02, -0.7607102930819024E-01, -0.7748316981224903E-05, 100.0
 -0.1089999961853027E+02, -0.7607104657209622E-01, -0.7908653610708487E-05, 100.0
 -0.1080000019073486E+02, -0.7607106428699757E-01, -0.8077559876722457E-05, 100.0
 -0.1069999980926514E+02, -0.7607108247173508E-01, -0.8255683142539533E-05, 100.0
 -0.1060000038146973E+02, -0.7607110114630791E-01, -0.8443735490134884E-05, 100.0
 -0.1050000000000000E+02, -0.7607112033197222E-01, -0.8642501897007520E-05, 100.0
 -0.1039999961853027E+02, -0.7607114005134608E-01, -0.8852849675988366E-05, 100.0
 -0.1030000019073486E+02, -0.7607116032852923E-01, -0.9075739411836540E-05, 100.0
 -0.1019999980926514E+02, -0.7607118118923542E-01, -0.9312237677406788E-05, 100.0
 -0.1010000038146973E+02, -0.7607120266094028E-01, -0.9563531876345656E-05, 100.0
 -0.1000000000000000E+02, -0.7607122477304508E-01, -0.9830947637068490E-05, 100.0
 -0.9899999618530273E+01, -0.7607124755706493E-01, -0.1011596928484561E-04, 100.0
 -0.9800000190734863E+01, -0.7607127104683238E-01, -0.1042026404357855E-04, 100.0
 -0.9699999809265137E+01, -0.7607129527873534E-01, -0.1074571078406927E-04, 100.0
 -0.9600000381469727E+01, -0.7607132029198198E-01, -0.1109443434514029E-04, 100.0
 -0.9500000000000000E+01, -0.7607134612890222E-01, -0.1146884672706008E-04, 100.0
 -0.9399999618530273E+01, -0.7607137283529049E-01, -0.1187169681525643E-04, 100.0
 -0.9300000190734863E+01, -0.7607140046079999E-01, -0.1230613076514192E-04, 100.0
 -0.9199999809265137E+01, -0.7607142905939518E-01, -0.1277576580896123E-04, 100.0
 -0.9100000381469727E+01, -0.7607145868987163E-01, -0.1328478109365327E-04, 100.0
 -0.9000000000000000E+01, -0.7607148941646007E-01, -0.1383803031092879E-04, 100.0
 -0.8899999618530273E+01, -0.7607152130953493E-01, -0.1444118246456183E-04, 100.0
 -0.8800000190734863E+01, -0.7607155444643583E-01, -0.1510089932075896E-04, 100.0
 -0.8699999809265137E+01, -0.7607158891244420E-01, -0.1582506118575045E-04, 100.0
 -0.8600000381469727E+01, -0.7607162480193952E-01, -0.1662305707848832E-04, 100.0
 -0.8500000000000000E+01, -0.7607166221977756E-01, -0.1750616176809669E-04, 100.0
 -0.8399999618530273E+01, -0.7607170128295998E-01, -0.1848803157385730E-04, 100.0
 -0.8300000190734863E+01, -0.7607174212265100E-01, -0.1958536493795358E-04, 100.0
 -0.8199999809265137E+01, -0.7607178488665990E-01, -0.2081879533255248E-04, 100.0
 -0.8100000381469727E+01, -0.7607182974251231E-01, -0.2221411766053580E-04, 100.0
 -0.8000000000000000E+01, -0.7607187688130233E-01, -0.2380400293551656E-04, 100.0
 -0.7900000095367432E+01, -0.7607192652258080E-01, -0.2563044386711778E-04, 100.0
 -0.7800000190734863E+01, -0.7607197892066321E-01, -0.2774832211128911E-04, 100.0
 -0.7699999809265137E+01, -0.7607203437288358E-01, -0.3023074607705894E-04, 100.0
 -0.7599999904632568E+01, -0.7607209323062941E-01, -0.3317727507403593E-04, 100.0
 -0.7500000000000000E+01, -0.7607215591440736E-01, -0.3672702691973643E-04, 100.0
 -0.7400000095367432E+01, -0.7607222293495797E-01, -0.4108041426136244E-04, 100.0
 -0.7300000190734863E+01, -0.7607229492378273E-01, -0.4653692976631952E-04, 100.0
 -0.7199999809265137E+01, -0.7607237267894759E-01, -0.5356467929427121E-04, 100.0
 -0.7099999904632568E+01, -0.7607245723705722E-01, -0.6293764570985887E-04, 100.0
 -0.7000000000000000E+01, -0.7607254999310316E-01, -0.7603180202152980E-04, 100.0
 -0.6900000095367432E+01, -0.7607251699832206E-01, -0.6070921138859182E-04, 100.0
 -0.6800000190734863E+01, -0.7607247759695504E-01, -0.4538183734878692E-04, 100.0
 -0.6699999809265137E+01, -0.7607243176991117E-01, -0.3004938447920414E-04, 100.0
 -0.6599999904632568E+01, -0.7607237949697582E-01, -0.1471153352391863E-04, 100.0
 -0.6500000000000000E+01, -0.7607232075671853E-01,  0.6320609920963530E-06, 100.0
 -0.6400000095367432E+01, -0.7607225552639568E-01,  0.1598177344475092E-04,   1.0
 -0.6300000190734863E+01, -0.7607218378184775E-01,  0.3133801012539868E-04,   1.0
 -0.6199999809265137E+01, -0.7607210549737609E-01,  0.4670121264102904E-04,   1.0
 -0.6099999904632568E+01, -0.7607202064561727E-01,  0.6207186175893549E-04,   1.0
 -0.6000000000000000E+01, -0.7607192919739258E-01,  0.7745048176069973E-04,   1.0
 -0.5900000095367432E+01, -0.7607202886475697E-01,  0.1486586983067643E-04,   1.0
 -0.5800000190734863E+01, -0.7607212873743568E-01, -0.2987076623148216E-04,   1.0
 -0.5699999809265137E+01, -0.7607222730223552E-01, -0.6332352369802719E-04,   1.0
 -0.5599999904632568E+01, -0.7607232346766739E-01, -0.8918368825774861E-04,   1.0
 -0.5500000000000000E+01, -0.7607241640954486E-01, -0.1096825892738716E-03,   1.0
 -0.5400000095367432E+01, -0.7607250548456390E-01, -0.1262465095535906E-03,   1.0
 -0.5300000190734863E+01, -0.7607259017802477E-01, -0.1398284150048722E-03,   1.0
 -0.5199999809265137E+01, -0.7607267007029409E-01, -0.1510881916726033E-03,   1.0
 -0.5099999904632568E+01, -0.7607274481429135E-01, -0.1604962958264901E-03,   1.0
 -0.5000000000000000E+01, -0.7607281411981549E-01, -0.1683962199294152E-03,   1.0
 -0.4900000095367432E+01, -0.7607287774231446E-01, -0.1750436423010837E-03,   1.0
 -0.4800000190734863E+01, -0.7607293547465124E-01, -0.1806317865840299E-03,   1.0
 -0.4699999809265137E+01, -0.7607298714095506E-01, -0.1853083111071784E-03,   1.0
 -0.4599999904632568E+01, -0.7607303259196550E-01, -0.1891868195084236E-03,   1.0
 -0.4500000000000000E+01, -0.7607307170148020E-01, -0.1923548510184288E-03,   1.0
 -0.4400000095367432E+01, -0.7607310436363271E-01, -0.1948795003159091E-03,   1.0
 -0.4300000190734863E+01, -0.7607313049081074E-01, -0.1968113955060361E-03,   1.0
 -0.4199999809265137E+01, -0.7607315001209618E-01, -0.1981875039414689E-03,   1.0
 -0.4099999904632568E+01, -0.7607316287212113E-01, -0.1990330712940201E-03,   1.0
 -0.4000000000000000E+01, -0.7607316903028333E-01, -0.1993628910547333E-03,   1.0
 -0.3900000095367432E+01, -0.7607316846028354E-01, -0.1991820268435854E-03,   1.0
 -0.3799999952316284E+01, -0.7607316114995659E-01, -0.1984860546036399E-03,   1.0
 -0.3700000047683716E+01, -0.7607314710138488E-01, -0.1972608466408888E-03,   1.0
 -0.3599999904632568E+01, -0.7607312633130725E-01, -0.1954818776126843E-03,   1.0
 -0.3500000000000000E+01, -0.7607309887184173E-01, -0.1931129877209410E-03,   1.0
 -0.3400000095367432E+01, -0.7607306477155655E-01, -0.1901044836326621E-03,   1.0
 -0.3299999952316284E+01, -0.7607302409695153E-01, -0.1863903838635605E-03,   1.0
 -0.3200000047683716E+01, -0.7607297693443717E-01, -0.1818845087744573E-03,   1.0
 -0.3099999904632568E+01, -0.7607292339292572E-01, -0.1764749536801685E-03,   1.0
 -0.3000000000000000E+01, -0.7607286360722469E-01, -0.1700162290699162E-03,   1.0
 -0.2900000095367432E+01, -0.7607279774246746E-01, -0.1623179377642032E-03,   1.0
 -0.2799999952316284E+01, -0.7607272599996773E-01, -0.1531281625683732E-03,   1.0
 -0.2700000047683716E+01, -0.7607264862503393E-01, -0.1421085264777072E-03,   1.0
 -0.2599999904632568E+01, -0.7607256591760628E-01, -0.1287956977616511E-03,   1.0
 -0.2500000000000000E+01, -0.7607247824705479E-01, -0.1125399802362507E-03,   1.0
 -0.2400000095367432E+01, -0.7607238607338321E-01, -0.9240343461650482E-04,   1.0
 -0.2299999952316284E+01, -0.7607228997871351E-01, -0.6698275244516626E-04,   1.0
 -0.2200000047683716E+01, -0.7607219071625848E-01, -0.3408330272769464E-04,   1.0
 -0.2099999904632568E+01, -0.7607208929113300E-01,  0.9924288569762751E-05,   1.0
 -0.2000000000000000E+01, -0.7607198710469347E-01,  0.7149205713392739E-04,   1.0
 -0.1899999976158142E+01, -0.7607208742428423E-01,  0.5632836388290304E-04,   1.0
 -0.1799999952316284E+01, -0.7607218113724194E-01,  0.4119763306375588E-04,   1.0
 -0.1700000047683716E+01, -0.7607226828940608E-01,  0.2610579859851600E-04,   1.0
 -0.1600000023841858E+01, -0.7607234892997711E-01,  0.1106124833030636E-04,   1.0
 -0.1500000000000000E+01, -0.7607242311354351E-01, -0.3923973474701866E-05,   1.0
 -0.1399999976158142E+01, -0.7607249090301285E-01, -0.1883216355123658E-04,  50.0
 -0.1299999952316284E+01, -0.7607255237405568E-01, -0.3363646733969867E-04,  50.0
 -0.1200000047683716E+01, -0.7607260762221572E-01, -0.4829443663408096E-04,  50.0
 -0.1100000023841858E+01, -0.7607265677499514E-01, -0.6273528784620296E-04,  50.0
 -0.1000000000000000E+01, -0.7607270001399968E-01, -0.7683237532081875E-04,  50.0
