profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607094774157236E-01, -0.7054500984162391E-05, 100.0
 -0.1139999961853027E+02, -0.7607096297981651E-01, -0.7179847221371824E-05, 100.0
 -0.1130000019073486E+02, -0.7607097858905672E-01, -0.7311276494413484E-05, 100.0
 -0.1119999980926514E+02, -0.7607099458349345E-01, -0.7449202763151381E-05, 100.0
 -0.1110000038146973E+02, -0.7607101097812202E-01, -0.7594077060811947E-05, 100.0
 -0.1100000000000000E+02, -0.7607102778878902E-01, -0.7746391670522534E-05, 100.0
 -0.1089999961853027E+02, -0.7607104503226177E-01, -0.7906684875156408E-05, 100.0
 -0.1080000019073486E+02, -0.7607106272629892E-01, -0.8075546373687323E-05, 100.0
 -0.1069999980926514E+02, -0.7607108088972882E-01, -0.8253623475655761E-05, 100.0
 -0.1060000038146973E+02, -0.7607109954253795E-01, -0.8441628206707939E-05, 100.0
 -0.1050000000000000E+02, -0.7607111870596861E-01, -0.8640345485105987E-05, 100.0
 -0.1039999961853027E+02, -0.7607113840262543E-01, -0.8850642561543639E-05, 100.0
 -0.1030000019073486E+02, -0.7607115865659325E-01, -0.9073479955325062E-05, 100.0
 -0.1019999980926514E+02, -0.7607117949357098E-01, -0.9309924170568151E-05, 100.0
 -0.1010000038146973E+02, -0.7607120094101849E-01, -0.9561162538405363E-05, 100.0
 -0.1000000000000000E+02, -0.7607122302832124E-01, -0.9828520611088092E-05, 100.0
 -0.9899999618530273E+01, -0.7607124578697699E-01, -0.1011348263357172E-04, 100.0
 -0.9800000190734863E+01, -0.7607126925080056E-01, -0.1041771574500674E-04, 100.0
 -0.9699999809265137E+01, -0.7607129345616159E-01, -0.1074309872686391E-04, 100.0
 -0.9600000381469727E+01, -0.7607131844224957E-01, -0.1109175632374708E-04, 100.0
 -0.9500000000000000E+01, -0.7607134425137353E-01, -0.1146610043628516E-04, 100.0
 -0.9399999618530273E+01, -0.7607137092930800E-01, -0.1186887984471010E-04, 100.0
 -0.9300000190734863E+01, -0.7607139852568422E-01, -0.1230324059319229E-04, 100.0
 -0.9199999809265137E+01, -0.7607142709444392E-01, -0.1277279979619067E-04, 100.0
