profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607094818635236E-01, -0.7055236782833525E-05, 100.0
 -0.1139999961853027E+02, -0.7607096343209178E-01, -0.7180601733557808E-05, 100.0
 -0.1130000019073486E+02, -0.7607097904900156E-01, -0.7312050336499190E-05, 100.0
 -0.1119999980926514E+02, -0.7607099505128778E-01, -0.7449996577189328E-05, 100.0
 -0.1110000038146973E+02, -0.7607101145395123E-01, -0.7594891515814633E-05, 100.0
 -0.1100000000000000E+02, -0.7607102827284450E-01, -0.7747227463780794E-05, 100.0
 -0.1089999961853027E+02, -0.7607104552474094E-01, -0.7907542733784993E-05, 100.0
 -0.1080000019073486E+02, -0.7607106322740559E-01, -0.8076427056061836E-05, 100.0
 -0.1069999980926514E+02, -0.7607108139967338E-01, -0.8254527773280075E-05, 100.0
 -0.1060000038146973E+02, -0.7607110006153747E-01, -0.8442556945791513E-05, 100.0
 -0.1050000000000000E+02, -0.7607111923424774E-01, -0.8641299528582473E-05, 100.0
 -0.1039999961853027E+02, -0.7607113894041567E-01, -0.8851622811036121E-05, 100.0
 -0.1030000019073486E+02, -0.7607115920413475E-01, -0.9074487353237576E-05, 100.0
 -0.1019999980926514E+02, -0.7607118005111152E-01, -0.9310959702450079E-05, 100.0
 -0.1010000038146973E+02, -0.7607120150881444E-01, -0.9562227235299498E-05, 100.0
 -0.1000000000000000E+02, -0.7607122360663798E-01, -0.9829615552274310E-05, 100.0
 -0.9899999618530273E+01, -0.7607124637608849E-01, -0.1011460894914638E-04, 100.0
 -0.9800000190734863E+01, -0.7607126985099179E-01, -0.1041887461900720E-04, 100.0
 -0.9699999809265137E+01, -0.7607129406772672E-01, -0.1074429140046236E-04, 100.0
 -0.9600000381469727E+01, -0.7607131906549369E-01, -0.1109298409858808E-04, 100.0
 -0.9500000000000000E+01, -0.7607134488661325E-01, -0.1146736467813856E-04, 100.0
 -0.9399999618530273E+01, -0.7607137157687090E-01, -0.1187018198743153E-04, 100.0
 -0.9300000190734863E+01, -0.7607139918591077E-01, -0.1230458214287784E-04, 100.0
 -0.9199999809265137E+01, -0.7607142776768658E-01, -0.1277418233583132E-04, 100.0
