 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.1150000000000000E+02, -0.7607121870464122E-01, -0.7821595700077347E-05,  0.1544657708643163E+00, -0.1491381296722317E-04,  0.1000000000000000E+03
 -0.1139999961853027E+02, -0.7607123960137174E-01, -0.7974829543619813E-05,  0.1544657278068224E+00, -0.1520705801207278E-04,  0.1000000000000000E+03
 -0.1130000019073486E+02, -0.7607126104149078E-01, -0.8135577064234751E-05,  0.1544656836341971E+00, -0.1551480213220017E-04,  0.1000000000000000E+03
 -0.1119999980926514E+02, -0.7607128304664711E-01, -0.8304351632873772E-05,  0.1544656383021850E+00, -0.1583803875581078E-04,  0.1000000000000000E+03
 -0.1110000038146973E+02, -0.7607130563972134E-01, -0.8481712663614368E-05,  0.1544655917640173E+00, -0.1617785051914834E-04,  0.1000000000000000E+03
 -0.1100000000000000E+02, -0.7607132884491961E-01, -0.8668270803505787E-05,  0.1544655439702233E+00, -0.1653541932848776E-04,  0.1000000000000000E+03
 -0.1089999961853027E+02, -0.7607135268787688E-01, -0.8864693834879047E-05,  0.1544654948684199E+00, -0.1691203780380097E-04,  0.1000000000000000E+03
 -0.1080000019073486E+02, -0.7607137719576916E-01, -0.9071713406027128E-05,  0.1544654444030823E+00, -0.1730912232957290E-04,  0.1000000000000000E+03
 -0.1069999980926514E+02, -0.7607140239743738E-01, -0.9290132728990172E-05,  0.1544653925152904E+00, -0.1772822798144158E-04,  0.1000000000000000E+03
 -0.1060000038146973E+02, -0.7607142832352559E-01, -0.9520835409849827E-05,  0.1544653391424512E+00, -0.1817106564970948E-04,  0.1000000000000000E+03
 -0.1050000000000000E+02, -0.7607145500663107E-01, -0.9764795609814201E-05,  0.1544652842179892E+00, -0.1863952174495540E-04,  0.1000000000000000E+03
 -0.1039999961853027E+02, -0.7607148248147391E-01, -0.1002308977682914E-04,  0.1544652276710060E+00, -0.1913568095030302E-04,  0.1000000000000000E+03
 -0.1030000019073486E+02, -0.7607151078508065E-01, -0.1029691023688371E-04,  0.1544651694259007E+00, -0.1966185258243408E-04,  0.1000000000000000E+03
 -0.1019999980926514E+02, -0.7607153995699283E-01, -0.1058758099786003E-04,  0.1544651094019495E+00, -0.2022060124520300E-04,  0.1000000000000000E+03
 -0.1010000038146973E+02, -0.7607157003949905E-01, -0.1089657619581234E-04,  0.1544650475128338E+00, -0.2081478261173079E-04,  0.1000000000000000E+03
 -0.1000000000000000E+02, -0.7607160107789127E-01, -0.1122554171330873E-04,  0.1544649836661161E+00, -0.2144758536165226E-04,  0.1000000000000000E+03
 -0.9899999618530273E+01, -0.7607163312075547E-01, -0.1157632062270292E-04,  0.1544649177626486E+00, -0.2212258054219381E-04,  0.1000000000000000E+03
 -0.9800000190734863E+01, -0.7607166622029841E-01, -0.1195098326603350E-04,  0.1544648496959126E+00, -0.2284377992880041E-04,  0.1000000000000000E+03
 -0.9699999809265137E+01, -0.7607170043271327E-01, -0.1235186298601239E-04,  0.1544647793512691E+00, -0.2361570535510562E-04,  0.1000000000000000E+03
 -0.9600000381469727E+01, -0.7607173581859647E-01, -0.1278159878375670E-04,  0.1544647066051112E+00, -0.2444347149008894E-04,  0.1000000000000000E+03
 -0.9500000000000000E+01, -0.7607177244342220E-01, -0.1324318651879655E-04,  0.1544646313239058E+00, -0.2533288520038644E-04,  0.1000000000000000E+03
 -0.9399999618530273E+01, -0.7607181037807638E-01, -0.1374004071267040E-04,  0.1544645533630968E+00, -0.2629056550120355E-04,  0.1000000000000000E+03
 -0.9300000190734863E+01, -0.7607184969947786E-01, -0.1427606960382517E-04,  0.1544644725658506E+00, -0.2732408924161427E-04,  0.1000000000000000E+03
 -0.9199999809265137E+01, -0.7607189049128245E-01, -0.1485576688654759E-04,  0.1544643887616169E+00, -0.2844216919346058E-04,  0.1000000000000000E+03
 -0.9100000381469727E+01, -0.7607193284470209E-01, -0.1548432461983572E-04,  0.1544643017644647E+00, -0.2965487326275869E-04,  0.1000000000000000E+03
 -0.9000000000000000E+01, -0.7607197685945202E-01, -0.1616777322435442E-04,  0.1544642113711575E+00, -0.3097389632849087E-04,  0.1000000000000000E+03
 -0.8899999618530273E+01, -0.7607202264485557E-01, -0.1691315645494246E-04,  0.1544641173589034E+00, -0.3241290004376053E-04,  0.1000000000000000E+03
 -0.8800000190734863E+01, -0.7607207032113925E-01, -0.1772875197100014E-04,  0.1544640194827208E+00, -0.3398794125852040E-04,  0.1000000000000000E+03
 -0.8699999809265137E+01, -0.7607212002095731E-01, -0.1862435198005956E-04,  0.1544639174723343E+00, -0.3571801722225845E-04,  0.1000000000000000E+03
 -0.8600000381469727E+01, -0.7607217189120796E-01, -0.1961162392609350E-04,  0.1544638110284857E+00, -0.3762576643019186E-04,  0.1000000000000000E+03
 -0.8500000000000000E+01, -0.7607222609519516E-01, -0.2070457915527064E-04,  0.1544636998185265E+00, -0.3973837948579452E-04,  0.1000000000000000E+03
 -0.8399999618530273E+01, -0.7607228281524142E-01, -0.2192018920798045E-04,  0.1544635834711097E+00, -0.4208879718991394E-04,  0.1000000000000000E+03
 -0.8300000190734863E+01, -0.7607234225585671E-01, -0.2327920693191980E-04,  0.1544634615697379E+00, -0.4471730728417318E-04,  0.1000000000000000E+03
 -0.8199999809265137E+01, -0.7607240464762496E-01, -0.2480727639751572E-04,  0.1544633336448488E+00, -0.4767370354849639E-04,  0.1000000000000000E+03
 -0.8100000381469727E+01, -0.7607247025202279E-01, -0.2653645736294780E-04,  0.1544631991640093E+00, -0.5102025251271994E-04,  0.1000000000000000E+03
 -0.8000000000000000E+01, -0.7607253936746061E-01, -0.2850735669575620E-04,  0.1544630575196208E+00, -0.5483584332306239E-04,  0.1000000000000000E+03
